Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5",LED_WS2812B-2020_PLCC4_2.0x2.0mm,5,WS2812B-2020,
ESP32C3,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
LD2420,LD2420_Module,1,LD2420_Module,
R_OUT1,0805,1,0R,
TP223B1,TP223B_Module,1,TP223B,
VEML7700,VEML7700_Module,1,VEML7700,
